targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
52.370344868584624;61.09238608164025;44.41743162254441,49.08151915051691;31.615578603735706;38.553034645015046,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3943226994848738;0.9290900282766297;0.027948105267300752;0.009643001983599324;0.8791176145415802;0.6052769923297207;0.34324691343554964;0.4064493178080565;0.023144489769452485;0.02049556450580726;0.40244121069511424,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.909728260333964;46.849916506627565;59.505940184520455,57.752137138001785;43.77826975976434;55.19572086390531,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5166795975969076;0.9061062887238833;0.01991447746228616;2.369075788181199E-4;0.8352505469758237;0.5222837751081324;0.9998842354632047;0.48310221723199953;0.043544188333043986;0.027973011745205723;0.03889230191165159,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,65.3744647608148;21.3489310148266;63.72295403304348,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6420744604841252;4.423117048851233E-4;0.6552683686218903;0.037855753367455426;0.3734293720053244;0.9895601192405922;0.7352272753186322;0.3935943246967894;0.003523946944653329;0.004753793385554339;0.015857824919118257,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
93.05467216824698;-13.52443756677374;88.24413337218287,53.31044520441627;2.6168904990262476;37.75280206370189,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7388854837830703;0.6846836289638533;0.9947533322819693;0.7196523856186133;0.6611517425907233;0.7289599322173994;0.6990059085890492;0.9257322240340811;0.06874880709846794;0.5026044999585634;0.6190836833634134,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
80.59597981775288;-2.559264475533063;80.33186448246352,53.30395041764885;-6.956920856985072;43.26992621681256,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6323609153649132;0.0031050135882543226;0.9817211068266378;0.4942473833476582;0.5098784113944268;0.6430967487671353;0.5298313090402523;0.612290597955829;0.031988323894222084;0.5038260392572893;0.35734778207922346,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,68.41280015090975;9.554717411360658;67.574764895941,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9580289213467009;0.0021057612008195618;0.42348999238187324;0.013624451707726495;0.01668354287596771;0.997371869852591;0.4244993651443052;0.4076648237179342;0.031838126438307836;0.010170871198898293;0.013254366942077656,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
32.112010421859175;55.57715769733368;-81.89570995877071,32.32719898161715;2.3282545942329422;-2.5235293907980294,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.14214909526955596;0.35406766521189764;0.3634017654033171;0.9999175709457226;0.35590974694966004;0.3512573912765606;0.03382654571043636;0.034498319692868214;0.342408327089267;0.36370430159423073;0.3616301292779197,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
47.01152815523787;-18.762749842305247;28.507176947058845,47.01152815523787;-18.762749842305247;28.507176947058845,0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03744392157248201;0.003993568859855519;0.7530955321387075;0.5080549838471468;0.018768378278230413;0.01984350408639053;0.7642679000126021;0.5157895012466157;0.7514395846431783;0.9438129471899208;0.020040541603381663,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.10771878561502;5.786919998675644;64.99664377601734,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9979499065891534;0.004059206845521677;0.023991816187719537;0.004462890213144012;0.028735918781294403;0.0220785654081925;0.9994812625899575;0.7684774688049196;0.027328206133701266;0.32710932153516015;0.01831746954452798,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
40.362733626571746;54.79863856636899;33.349081115326264,40.57365532795902;45.510930591193265;28.908362042133597,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5275528528791118;0.9324411545514095;0.02784725318537827;0.0028117420993491286;0.9728783377472019;0.007616651917058521;0.01328046025121166;0.4695780590458172;0.017913972626273398;0.9366499079594214;0.007662420342436657,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
50.790357605472934;46.30375329018277;53.655896721561916,42.519590285668734;16.348570345512126;32.310633803524134,0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0,0.031281932198653384;0.4222563131087779;0.043400933516518705;0.3922910463542538;0.8560758326968285;0.5338975442229724;0.8791223604240048;0.4295579029020967;0.02910977634372498;0.4195680316851839;0.3596620352527264,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,46.53485075126062;-2.6038920195828874;34.88910261240644,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9914291104793235;0.705734622899441;0.9039301068299403;0.5186277162428268;0.6759297144178266;0.9919415338518672;0.07012935847164878;0.6430235335369581;0.6495133321008054;0.6015572639280277;0.3174675548147953,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
45.83013734686718;20.028389728642402;46.87686885739514,50.26582096847088;17.0892217459519;46.91419280989428,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0,0.8603675612199031;0.034421214909635005;0.39854970750457913;0.7321372136354604;0.7572553320842786;0.8884097876849053;0.7598925524420017;0.02199073332414734;0.02705623884560649;0.013312412808320347;0.023997144086882603,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
54.89458796140141;16.112618041368766;57.254529852189826,49.13693858976859;6.64005449452576;44.64125960560062,0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0,0.9619195975891601;0.7189539152108871;0.8773716415009142;0.5981995871320576;0.695907848793538;0.6529404424897816;0.9729204559360781;0.39637137227323765;0.022347567807348895;0.7274107415368626;0.4274769685443117,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.18496311108873;7.735288370806337;64.31194271329144,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6180648009799505;0.4353432831247819;0.9914737857938662;0.03777675430557625;0.03915949870310587;0.007388127683374268;0.6118654374941939;0.564990676520822;0.024861016629286473;0.6311304286799213;0.007141515725530904,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.64497183318726;41.34904304583387;74.38042449068686,59.243537438134624;10.29491688939127;53.40442377358294,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0,0.3923797414322107;0.6512209219037562;0.6851055361394269;0.004873528494356124;0.014765591334137641;0.3363662803943694;0.9981675910500188;0.38222374215495913;0.3807562524067667;0.00603683322230367;0.035491864961538985,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.12890755038966;25.83968384063484;72.37860748612705,67.51556473694015;24.682059191825868;68.05800387393764,0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0,0.910688260652685;0.4367978528721841;0.41149043167913035;0.02122650364164184;0.002626389817113308;0.5279371678055171;0.9978366829108456;0.40240235544685715;0.01650555444208303;0.023257591844430752;0.02115675784279302,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.09580347831174;7.668802569989753;56.5548972296355,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.016266542048669903;0.5004333752152664;0.9934746332870501;0.4968920299554231;0.007277781965070184;0.9516062317176116;0.9416706531650629;0.8859380600242673;0.006809808014732642;0.01755832060476024;0.0015518161703109434,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
100.0;0.00526049995830391;-0.010408184525267927,66.63105111815157;-3.635904621802577;39.931717420915504,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0,0.2716918023663049;0.2693843735606092;0.2043796535364365;1.775422549547539E-4;7.328442453721675E-5;0.2328245685861675;0.2202284267978421;0.9986713706848099;0.0217431966189261;0.2713428460959217;0.23740898723045972,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
84.2189330883204;-3.6886657038223136;66.55231175720814,62.64852134030984;0.5101910555040945;44.64394473786025,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0,0.9980761707541354;0.02525126544506984;0.38480877661642576;0.3793807744517391;0.3723520165572585;0.37947218476652494;0.017378484453252824;0.9940435173714537;0.013906990402780182;0.37590984792964927;0.030421875948784594,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.55319721426291;7.696200454276214;64.05672808247368,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9897849543674178;0.47683750534942143;0.810212687517304;0.4776255799082494;0.02401083595502201;0.01247182903313134;0.9987613550871736;0.47296227432460236;0.03948263489432388;0.016336711696923138;0.02958741686370736,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
16.24447400883688;44.35786734366931;-64.94072656183228,19.102808429641776;22.237131449113683;-40.98565874581644,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0,0.04733110332841578;0.334253798345207;0.0113679531278942;0.889306729896837;0.7324942719922585;0.5102681540580989;0.05229486218098864;0.03817436021436983;0.9323061542341257;0.9013501256784454;0.9235484821531668,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
34.89500100300083;-29.237271178155833;21.020668491511852,34.43661779657869;-20.85829407285733;20.63114449809743,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0,0.5113077832070999;0.04053585374325536;0.8058504148621233;0.025314233190749616;0.39408993609688076;0.005608185220871531;0.03161869763841685;0.017569834244052913;0.7520755770056488;0.8727541254184354;0.6632206957037752,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,64.62354212740621;9.83346270435137;62.206718794923766,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9984237404050429;0.4290029083311348;0.9563033761507055;0.009549193502665997;0.039081877252233437;0.37699178062473154;0.4217644703147041;0.42203547295070487;0.012243047505800408;0.4293285213758782;1.7560177927339503E-4,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
0.0;0.0;0.0,31.60016316608955;1.5113331253781837;10.531504621228793,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0,0.503468846188735;0.4785855578975355;0.05030199288288275;0.058950253512219414;0.9126709675770777;0.05477199881802411;0.7874159395757477;0.4700084903881741;0.9247278881211014;0.9007959453736334;0.8514209771747497,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
29.69689396469333;-9.584819049123366;36.47319673428681,36.512278904059755;-0.9020862572768906;30.12847849038932,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0,0.6933058177303061;0.019463903899935207;0.4025236642897425;0.4193794184041812;0.41589200726075626;0.02673317789016972;0.807468510190583;0.019196214366138113;0.44279412545824565;0.9909640323943825;0.015413817152894768,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,48.094575431598926;-15.260201771297943;35.28922706318605,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9978941277401487;0.6121427920666401;0.772459773965818;0.6332428705881064;0.04411745621517493;0.8610290273051711;0.6987944286253156;0.680110660982706;0.5708928744306171;0.5431409722781719;0.6302339161834501,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
19.312936634389438;-0.41324827279839993;-24.88657164896193,21.659258454825185;1.4278464166139204;-22.44505735561151,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0,0.03782948616724065;0.3303898337825115;0.013904547230843918;0.39151315658123276;0.025227188101957634;0.7371862909091959;0.01652304593435049;0.03799746182789853;0.7834655053976769;0.5532908880895241;0.9267775586861683,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
38.44014086775276;-36.83892191059718;28.602265969157102,38.84324904522491;-30.473641610590185;27.128847363730113,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5,0.001757964943839104;0.014761653168367138;0.8864161223348584;0.034692075099307246;0.045398716292619753;0.4037490243601292;0.9185355647259901;0.046685486592672854;0.8456587349549277;0.5464272525256099;0.9500307189328409,NSGAIIOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
