targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
52.370344868584624;61.09238608164025;44.41743162254441,52.15680551018865;57.63263402586838;43.91819678198511,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0;0.9828843514478667;0.14857669368378287;0.0;0.3336817630825972;0.0012775165542709649;0.0;7.111234514796333E-4;0.01200266022457067;0.0014249667347215255;0.0021554874024687478,CMAESOptimizerImpl,6106,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.909728260333964;46.849916506627565;59.505940184520455,57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9392216158468796;0.8522178718884411;0.3979565083224887;0.00908870657628469;0.8393796559161353;0.0071403845747199;0.7569564417661284;0.0232031316971808;0.029843024000679758;0.010772210187673017;0.014555746410961364,CMAESOptimizerImpl,5666,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9698210141617907;0.00752568157654168;0.0016820875787153188;0.006737776276055921;0.008007386940170252;0.010259019178408236;0.00499835067123643;0.0076142966101550805;9.589437615277461E-4;0.004181243218593157;0.00565957189310899,CMAESOptimizerImpl,8141,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
93.05467216824698;-13.52443756677374;88.24413337218287,93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.001470350696259455;0.0065555164667484254;0.8881424912045179;0.006263880740715525;0.09379331988117798;0.0030684162470939625;0.002222214835676355;0.007822522699275107;0.007412480124213294;0.0020074867645738194;0.003651581603243994,CMAESOptimizerImpl,6656,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
80.59597981775288;-2.559264475533063;80.33186448246352,81.76814593029782;-0.5507578672975244;81.25454717715807,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5362445878301785;1.4637442711930336E-4;0.894483469505881;0.0047991002270929475;0.0;0.004764509157955965;0.1686280733822766;0.006824838672612188;0.005714774816934627;0.010943382520535476;0.0,CMAESOptimizerImpl,10001,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.886797993465067;0.0016380942306322803;0.0024079913812081466;0.008976976242841498;0.0024558169494604378;0.0032811871063051514;0.0058248608025150035;0.0054031624365217;0.001371823006090112;0.003588879074302202;0.007012154752793737,CMAESOptimizerImpl,7811,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
32.112010421859175;55.57715769733368;-81.89570995877071,31.391757823822353;48.742736746875046;-73.1400102075056,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.011347145307782787;0.007299722498870932;0.007448307310992514;0.9902553119177677;0.2048877329347544;0.0033130929636301467;3.4125279989651687E-4;0.22200979980471383;0.5742955541336826;0.009810616419752628;0.005978743324284973,CMAESOptimizerImpl,6546,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
47.01152815523787;-18.762749842305247;28.507176947058845,47.01152815523787;-18.762749842305247;28.507176947058845,0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.006563713439322282;0.0048095273999087754;0.8652799953786403;0.8877549166968483;0.017427283246276893;0.8110114712664154;0.7312496047757536;0.00424816188989636;0.8441487025485498;0.030258021915894433;0.026908091538050093,CMAESOptimizerImpl,4841,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9678761663473654;0.006271375245614559;0.002693532343039613;0.005129825293026951;0.007572994162890635;0.00125713848998115;0.00183110855104576;1.3341816214059062E-5;0.004099277411726417;0.0016743308607141262;1.2915016924209231E-4,CMAESOptimizerImpl,10001,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
40.362733626571746;54.79863856636899;33.349081115326264,40.71094123628362;49.233670286693645;29.89198920067515,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0;0.34780981133070443;0.0;0.17131077060028452;0.9846887461481888;0.1698560517586803;3.5060164624888803E-4;0.0;0.005313383988564871;0.0016207137706644712;0.0,CMAESOptimizerImpl,6656,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
50.790357605472934;46.30375329018277;53.655896721561916,50.790357605472934;46.30375329018277;53.655896721561916,0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0,0.0;0.7398952945468423;0.015288459839336216;0.02573443997894726;0.5522023763809196;0.9858049137029651;0.7281020985927416;0.0;0.010950376054468827;0.01227344935877344;0.015358586168561257,CMAESOptimizerImpl,4786,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.937806889670867;0.0012218493420540603;0.008018150919386;0.0024345109774855855;0.009169477583979265;4.601322651183312E-4;5.482914618318464E-4;0.0020385710122576405;0.002765124101909877;0.00234216539356097;0.006497057875040922,CMAESOptimizerImpl,9901,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
45.83013734686718;20.028389728642402;46.87686885739514,45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0,0.01712041712353043;0.009196208018729375;0.8177641821173421;0.005595586390196405;0.7228696536695846;0.9262143453846343;0.9035975941521001;0.018999522418310114;9.303603171672689E-4;0.8750753419551177;0.014065335999494574,CMAESOptimizerImpl,4676,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
54.89458796140141;16.112618041368766;57.254529852189826,54.779173777701686;15.710553016018148;56.55524610719434,0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0,0.6974764211789015;0.6624010126856028;0.8314734423242881;0.03162619421219232;0.01131071339922557;0.025642354222786504;0.6609439023040041;0.03233911533301529;0.016861983642018557;0.7677056181363697;0.014338566307420468,CMAESOptimizerImpl,4951,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9546054241182734;0.005126816841502679;8.737584700887477E-4;0.009749199891450426;0.004523173602931022;0.005525254116302649;0.00450374752170392;0.00201743774511295;0.0018419810673567221;0.0012239713361424241;0.0013670648863832722,CMAESOptimizerImpl,9626,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
