targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
65.82209371056075;31.706985217776428;65.54344603152337,53.942270427087394;14.157968093101548;54.06123067796855,0.46;0.32;0.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8568496047753901;0.03023251254602961;0.6759321815901802;0.012995864324373982;0.5253210337454284;0.014397018845046024;0.9865602645904893;0.03338043813332294;0.22287275100214562;0.25954444238179775;0.020474667483435058,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
68.86296480846403;30.489923152347497;65.92484157727667,64.11298874481449;18.37095192520488;58.3387131658942,0.34;0.3;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7501538334136627;0.03436534288870959;0.690152305999757;0.007939883143209009;0.9085708347237432;0.03866666679860264;0.9848260046462918;0.6784707164262408;0.03632055007714166;0.04276430509477946;0.22436351323173173,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
56.34386860982127;51.9108713801833;56.39387288779885,51.61670086072884;41.99301106059078;51.779226539303814,0.35;0.56;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5563013152337066;0.9210822245569048;0.026523787428667674;0.2864522263045268;0.6391861184407661;0.013249756342098592;0.9992144138754151;0.019354689067574628;0.011320868402231532;0.02713776468237457;0.016610317305886968,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
70.2480866359521;24.933350315164027;68.49933914047449,68.13147642694537;24.24432491330458;66.04741820690649,0.39;0.24;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.892259942901145;0.028712301212445265;0.7238139204055356;0.0022181509866690922;0.5786074743645684;0.2903548447808811;0.9938167607590648;0.5518737275217853;0.015935672559780102;0.018285316964822437;0.010737810980476433,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
61.12468389425992;43.52067494469547;59.59683522929392,63.61803728456155;36.75198424403886;59.79988476294661,0.35;0.5;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7970339107701788;0.8320927835832965;0.8829587808737613;0.04672272360339487;0.7186945707964861;0.18926032702490994;0.8901960445253199;0.4339887662121719;0.006439959233896751;0.041127924347030206;0.008656170058784392,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
59.79220583599576;49.697198784982355;54.386132007495455,51.81103793658751;20.26726359219183;34.448629919870534,0.16;0.64;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03733115951007252;0.9741186116774964;0.8701179450370068;0.4157811146475057;0.7439635817097858;0.03617884910605133;0.5339413948115628;0.3149303433285142;0.4191363140768038;0.03200994453538585;0.024551028650362437,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
73.71497843607244;16.928088913573337;72.36881772735994,75.4930803768082;18.051393445383646;71.11168080508368,0.4;0.16;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9231268212331533;0.5502603910683489;0.990419475841487;0.03457685771249039;0.001951167757797992;0.012606234877328105;0.5486450220171599;0.6452777650352621;0.014332445197033585;0.012746810376893975;0.02741466466320962,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.64706931246049;38.60572797403749;58.10420183589211,65.97314707212432;34.886766859671845;54.595825806969266,0.02;0.5;0.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8743539128755301;0.826862287868123;0.8918279308791245;0.03085371932026289;0.6631622487574776;0.016581739102658553;0.029395088362866018;0.5888372602838776;0.028685561031531005;0.0035331273022751984;0.004482580114861273,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
86.97432738230724;-8.401653242143258;84.52824204586972,87.22252213286251;-7.020616559254512;79.6789703757893,0.25;0.01;0.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7579342788731575;0.02005657329178663;0.9680050675851035;0.015852061282375398;0.007330757141577345;0.002097319584038607;0.008659312042063768;0.7185576549584891;0.01082235306339825;0.02091976289420698;0.014634107410081396,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
72.07009420970098;29.98043138154044;63.34308544380225,70.64405125933268;27.830108141101427;60.816064400790246,0.01;0.4;0.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03406464536753944;0.034522823894623036;0.9925222581035237;0.018271257072200356;0.8215459838187854;0.002801648644033036;0.8860697650418472;0.739705449962445;0.010783549901843185;0.0331505614274856;0.01090258988741552,NSGAIIOptimizerImpl,100,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
