targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
93.05467216824698;-13.52443756677374;88.24413337218287,47.792845780302116;-6.097595639617981;32.08655169602572,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,75,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
79.13799151824739;14.950410904616406;72.05763463369543,44.582766245236044;-8.185222962337036;33.84852597826858,0.0;0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,77,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
68.06005955732883;37.59196679892424;58.51013582885819,43.97414149379524;-7.137047450279821;33.66738118735386,0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,73,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
59.4947111683784;52.587344471343776;49.43964163323572,43.591487623440194;1.0326562749713442;29.730349426837044,0.0;0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,74,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,43.591487623440194;1.0326562749713442;29.730349426837044,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,75,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
86.97432738230724;-8.401653242143258;84.52824204586972,47.792845780302116;-6.097595639617981;32.08655169602572,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,75,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
73.16779070213566;21.941709478349335;69.03926826894079,47.30784489642399;-4.993462151410332;40.18297161351803,0.25;0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9530833329422672;0.3345716770672153;0.3599801496694311;0.3136732326342419;0.3300430350673384;0.3650178524715705;0.5690668501346277;0.3187223104587604;0.3069197747395213;0.3202664253334187;0.3206786513291908,BOBYQAOptimizerImpl,93,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
63.30822412973451;41.243126513819064;59.79075291772148,43.97414149379524;-7.137047450279821;33.66738118735386,0.25;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,75,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
54.92893027698692;55.896449419037545;53.015857808431136,43.591487623440194;1.0326562749713442;29.730349426837044,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,69,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
80.59597981775288;-2.559264475533063;80.33186448246352,50.276201637924984;-6.080704156168959;39.27020571706051,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7607170619226211;0.31993777582538124;0.7030116593327982;0.27322860240191416;0.3080257494288878;0.3293695738601421;0.32860764149942856;0.3328276890796128;0.2754478269757692;0.28169487651063896;0.28865574200625405,BOBYQAOptimizerImpl,107,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.89296270773252;25.96184755580605;68.25398433689301,43.97414149379524;-7.137047450279821;33.66738118735386,0.5;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,73,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.909728260333964;46.849916506627565;59.505940184520455,45.00925525067305;-0.4048060640786111;37.717079526857944,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3423074738142668;0.52540564556292;0.31420728941920295;0.31128909454351766;0.3413250038071043;0.4621085867389513;0.9416632331141934;0.3154474263451382;0.3099346302927906;0.3125695465292445;0.3120439921446596,BOBYQAOptimizerImpl,105,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
73.98157428057225;2.6404661833641097;75.6977020928893,44.582766245236044;-8.185222962337036;33.84852597826858,0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,77,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
61.86404923206804;31.344327196043466;65.23719306297153,43.97414149379524;-7.137047450279821;33.66738118735386,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,73,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,44.582766245236044;-8.185222962337036;33.84852597826858,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,75,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
32.112010421859175;55.57715769733368;-81.89570995877071,43.64975513336456;-3.9664715279250085;22.817874148103545,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333,BOBYQAOptimizerImpl,75,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
30.889391833568872;40.81711707740091;-49.26692802718592,38.30024212676673;-4.262317328436765;4.367379355466627,0.0;0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.27791754795934576;0.316198456454403;0.23095328381133498;0.8896375365422153;0.32361217153490096;0.2995480477326611;0.2849567630873509;0.2847071783004314;0.4350291322957138;0.3296624060461193;0.3766998011188216,BOBYQAOptimizerImpl,97,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
