targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
93.05467216824698;-13.52443756677374;88.24413337218287,60.61468997921966;-9.302978138092389;45.64344594763459,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4454854641972564;0.38981625201838915;0.9989394351063087;0.03358618007211267;0.21945426740330937;0.03968039188603982;0.41286055930619503;0.6853099441054089;0.22372353912401027;0.33111333430382767;0.4081858257435129,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
79.13799151824739;14.950410904616406;72.05763463369543,60.867028014521466;-4.328632154095901;46.61902335683965,0.0;0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.47546031107960807;0.5056128997055999;0.5767081884549285;0.4707591063335051;0.02552534642180248;0.6351490110608126;0.9944642418117272;0.8474476670587426;0.01972626597769877;0.032681919024691405;0.4734230357667046,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
68.06005955732883;37.59196679892424;58.51013582885819,61.3381128696566;28.91475498666424;52.07481143296655,0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5120470704841821;0.810512183219857;0.6784683797215931;0.01681322419568601;0.5562749485805417;0.38042327476280524;0.5942594046639896;0.7374641925186036;0.009025586238058195;0.2879410561207515;0.0014421492871299626,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
59.4947111683784;52.587344471343776;49.43964163323572,53.96275413864589;21.862545634979856;40.95832423673499,0.0;0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.031919475803921904;0.9585124960766219;0.9838336436642072;0.033298349809994986;0.8416766664985906;0.45371877677170885;0.4610036095901385;0.4988220381405199;0.03881192157369738;0.2205158620714915;0.473594809950875,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,48.71414808596239;29.699396827340298;31.93267914525375,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.018731684317633866;0.9987797005636462;0.41205929638554084;0.025127533896829944;0.9923570535634513;0.22472219607674446;0.3998755293125203;0.40053625034112295;0.3693736701352324;0.03419409128667352;0.18951113252605772,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
86.97432738230724;-8.401653242143258;84.52824204586972,77.60609882865266;-24.52230074794931;59.812134764415894,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.395878881779097;0.016543810467704888;0.9405496307191302;0.006768071168517463;0.016525370323906698;0.021289552932187955;0.33200326622248744;0.9888317287857171;0.008406491919427177;0.2295464054085216;0.3258752062183262,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
73.16779070213566;21.941709478349335;69.03926826894079,59.68211320677291;13.800941364469688;47.46551081178586,0.25;0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03594718388473015;0.446475717790034;0.9665054750647922;0.4139996236475624;0.5036313157037592;0.002679965861354365;0.9830219182791127;0.6865823685563596;0.03489635354897139;0.39367028090038003;0.016330143286183846,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
63.30822412973451;41.243126513819064;59.79075291772148,57.190283370180325;29.287947449174677;53.148171877714404,0.25;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3504058240940291;0.8162678803859541;0.812350028248467;0.012155581078161205;0.960225226048724;0.013275844308859492;0.9587033131244128;0.500588425255498;0.015927688874314574;0.471592143282792;0.017067155184213787,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
54.92893027698692;55.896449419037545;53.015857808431136,39.27946502309233;24.64199553856941;34.704719077470855,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5285516213792026;0.9892209423999713;5.113402548762838E-5;0.42660776956800117;0.7939077727270809;0.44061350219536455;0.5898076693078738;0.008467468684267952;0.3089107682155646;0.3737317751770771;0.012051466850169728,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
80.59597981775288;-2.559264475533063;80.33186448246352,70.86342649714217;2.732500646457914;58.01387033732613,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9275189600921424;0.4515447558171343;0.9300801540790078;0.44749894427813014;0.01774381105915586;0.30586055261600426;0.4930030077437472;0.9342818193111466;0.03941298601574245;0.028222468328198632;0.0015047104987779695,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.89296270773252;25.96184755580605;68.25398433689301,65.47654387186547;28.452687967588208;56.76014447391743,0.5;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9936033789771256;0.4015096270711331;0.8896408286491194;0.03254489369153682;0.9637059888664907;0.46167003411801566;0.016950009925924242;0.7681993302155035;0.006442841976142345;0.021717123280858175;0.018082680359928056,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
57.909728260333964;46.849916506627565;59.505940184520455,55.64311425885553;30.5398305404303;53.613281120996184,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.583934570107363;0.8400991718506347;0.9279390800628955;0.041649206556044656;0.7594507360834709;0.9210956000800212;0.916883970331396;0.3495530233032118;0.0074969003860516775;0.47046602142295413;0.03614893874026551,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
73.98157428057225;2.6404661833641097;75.6977020928893,72.55411181847447;-0.17660736751806683;68.8054080649129,0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9717082070025959;0.004965526534542977;0.9661807343358008;0.016361298917324074;0.04055942517262189;0.027496042061140813;0.9581577894305365;0.9380754995547073;0.031486598133719054;0.44238906613210277;0.016894516595926792,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
61.86404923206804;31.344327196043466;65.23719306297153,56.55332791650089;17.905409706669374;54.869108606230995,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.7154409970715869;0.9976193424092981;0.8099897421713989;0.024488730841776916;0.03869320234569438;0.9387700053437293;0.6438007741378032;0.040742350727779625;0.29810395650827953;0.010014694876386647;0.029475117921259564,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
67.0607520782194;8.583268068731996;70.79009233501033,67.4004211649207;7.210101685006243;60.04857015348205,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9943019957850414;0.023873466225872157;0.804088685706589;0.015400301796109747;0.4386718059560421;0.012983703706027203;0.01325994459353174;0.6574387480668509;3.649967539673533E-4;0.33662009285661154;0.029220661592061506,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
32.112010421859175;55.57715769733368;-81.89570995877071,31.364993104329884;19.318668420349542;-48.07322147677231,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.035289190990767355;0.003150710117920494;0.021731958425214592;0.7966410232752658;0.7953607551500782;0.041984183734222774;0.33064534851784655;0.7426245942979536;0.9897125355911484;0.8097395626907894;0.8536223959116315,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
30.889391833568872;40.81711707740091;-49.26692802718592,42.390337011798664;2.2318937773255776;15.322398412907724,0.0;0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.003088614593860534;0.7083357746570752;0.5490884517939812;0.9853330895515111;0.47015924204187354;0.5085040656769713;0.5207371065824555;0.4914078519632635;0.5717188952217359;0.41632662763902856;0.42862590589974214,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
35.47300283750205;35.85358913728548;-13.068481539473442,36.74614512011531;13.895507966169562;7.494893263956515,0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.293581439233491;0.7923791991939073;0.03525757428519293;0.9986568955393643;0.5757777520395934;0.42836676672757956;0.3949816454988202;0.6120166345783918;0.35306091062626227;0.7865883048491126;0.37948160293562977,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
42.94652329503914;43.80421754227193;19.88627168875802,46.93339708362478;32.79810587068105;28.55117311702954,0.0;0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.02935878225317824;0.8191578620725068;0.5548986656672784;0.49865409240641506;0.9716785084105042;0.9685970266084878;0.6241206265100885;0.9684822127569283;0.06271394131961727;0.9886271135405991;0.049122370864636944,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,53.832717435537305;48.297847625672354;45.868824526135555,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.2276232481052108;0.9967831049822619;0.007770401859494267;0.027961271010130958;0.7369373840325876;0.508675605775286;0.25621498124296765;0.3105598304766003;5.646787315246936E-4;0.017783373369124673;8.105702412265119E-5,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
38.764055326781225;-1.3314154884452312;-14.798500468186049,38.02307241116672;-1.7830128570254788;6.501037522824071,0.25;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.41556867151425364;0.34827043359645415;0.027689465845062967;0.9670330826963939;0.6685710984508054;0.9663928430359615;0.5595251066304652;0.9058229391568967;0.7579604143750966;0.9860815271727644;0.7141107004897976,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
40.9139628228848;6.999999659533324;10.285048749982561,37.32881687273408;6.649350453234337;3.7795435504627273,0.25;0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.05309691296570645;0.8722469354241815;0.04798030066391717;0.6394120923607086;0.3063953106684217;0.9391626460913104;0.04991462873323188;0.788601139578533;0.5673618820226366;0.7091293868448595;0.5483676937663722,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
45.4382029520668;25.816335392480294;34.232462577884704,37.58367272016318;12.473026921247687;26.407130640586864,0.25;0.5;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.027451618515452428;0.7793077716843791;0.013578831957407788;0.9949446377107318;0.5662881929551675;0.854571083702066;0.9551209602814573;0.021573952958568527;0.0027803014625595967;0.39621197360778315;0.47748593856036803,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
54.92893027698692;55.896449419037545;53.015857808431136,44.522491685117444;12.904308393267172;36.74869438357358,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0018681362687309388;0.8582743452318204;0.4691933136747494;0.04959064423586812;0.8611784631666387;0.5116788034171292;0.9783177547908483;0.30951453911999843;0.3985877897349718;0.3346662583601555;0.4161716316377356,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
47.01152815523787;-18.762749842305247;28.507176947058845,44.72624183490477;-11.051882195547924;24.62498914130219,0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03891249328071349;0.027223774054521213;0.6845718207649178;0.28159468749653566;0.4757674107648893;0.9887446734661575;0.8364762908985801;0.8877360395973714;0.7545264530565348;0.8534738292052892;0.7212822017170147,SMSEMOAOptimizerImpl,10000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
